city,state_abbr,state,county,lat,lng,building_count,city_description,metro,updated_at
"Apple Valley","CA","California","San Bernardino",34.50050354,-117.19026947,3345,"","Riverside-San Bernardino-Ontario, CA","0000-00-00 00:00:00"
"Ann Arbor","MI","Michigan","Washtenaw",42.27741623,-83.73327637,3337,"Ann Arbor's commercial real estate market is witnessing a sustained recovery in office leasing, driven by local economic resilience and a growing demand for flexible workspaces. Vacancy rates have stabilized around 12 percent. Market health is reflected by an uptick in rental rates, particularly in prime locations, as companies prioritize accessibility and amenities. Coworking spaces are rapidly expanding, catering to startups and small businesses seeking flexibility without longterm commitments.","Ann Arbor, MI","2025-05-29 05:06:52"
"Harlingen","TX","Texas","Cameron",26.19067192,-97.69013977,3318,"","Brownsville-Harlingen, TX","0000-00-00 00:00:00"
"Williston","ND","North Dakota","Williams",48.16143799,-103.62575531,3274,"","Williston, ND","0000-00-00 00:00:00"
"San Rafael","CA","California","Marin",37.98839188,-122.52690887,3238,"Health indicators for the commercial real estate market remain positive, with rental rates stabilizing and even increasing in prime locations, signaling a renewed investor confidence. Small businesses can benefit from the vibrant coworking ecosystem that fosters networking and innovation, while also offering the flexibility to scale space according to their needs. As the market continues to evolve, small enterprises should consider the diverse options available, capitalizing on the growing trend towards hybrid working arrangements.","San Francisco-Oakland-Fremont, CA","2025-05-14 23:52:54"
"Covington","LA","Louisiana","St. Tammany",30.48069572,-90.11010742,3224,"","Slidell-Mandeville-Covington, LA","0000-00-00 00:00:00"
"Adelanto","CA","California","San Bernardino",34.58687210,-117.44220734,3216,"","Riverside-San Bernardino-Ontario, CA","0000-00-00 00:00:00"
"Victorville","CA","California","San Bernardino",34.50696564,-117.33013916,3173,"Victorville Located in the Victor Valley of San Bernardino County, Victorville is a city with around 110,000 residents. It has an elevation of 2,950 feet and lies 81 miles northeast of Los Angeles. For the year ending in July of 2007, Victorville experienced the second highest population growth of any city in the country, with a rise of 9.5%. Office space in Victorville : There are many business opportunities in Victorville, and companies will have no problem finding an office that suits their needs. Styles range from high and low-rise options of all sizes and configurations to lofts and converted warehouse spaces. Retail space in Victorville : Many retail options are available throughout Victorville, with higher end retailers located near downtown. Spaces for family restaurants, convenience stores and clothing boutiques can be found in all areas of the city. Industrial space in Victorville : Most industrial warehouse options are situated on the outskirts of Victorville and along the major thoroughfares. Spaces of all sizes can be found, and many are great for manufacturers and distributors. Companies searching for space in Victorville also look in nearby Hesperia , Adelanto and Apple Valley .","Riverside-San Bernardino-Ontario, CA","0000-00-00 00:00:00"
"Bossier City","LA","Louisiana","Caddo",32.53419495,-93.66992188,3154,"","Shreveport-Bossier City, LA","0000-00-00 00:00:00"
"Dothan","AL","Alabama","Geneva",31.22373009,-85.39336395,3152,"","Dothan, AL","0000-00-00 00:00:00"
"Waco","TX","Texas","McLennan",31.55237389,-97.11909485,3147,"","Waco, TX","0000-00-00 00:00:00"
"Pearland","TX","Texas","Fort Bend",29.54426384,-95.33078766,3120,"","Houston-Pasadena-The Woodlands, TX","0000-00-00 00:00:00"
"South San Francisco","CA","California","Alameda",37.65465927,-122.40788269,3118,"South San Francisco: The city lies north of San Francisco International Airport in a small valley between San Bruno Mountain and the Coast Range. This proximity is attractive for businesses to base their office space in this city through finding commercial office space listings. The city is served by two major highways, U.S. Route 101 (the Bayshore Freeway) and Interstate 280. Because of this easy access to the highway, businesses find it advantageous to locate their commercial real estate or office space in this city. A BART station, located directly adjacent to El Camino High School and Solaire Transit Village, opened in 2003, supplementing Caltrain service to San Francisco and San Jose. The convenient transportation system is plus advantage for businesses that are looking for commercial office space as well as office space property. South San Francisco offers its citizens a city in which to live comfortably in fine residential areas and a place to work in more than 2,800 firms and businesses including many biotech companies such as Genentech which gives the city the title of ""Birthplace of Biotechnology"". Companies who look for spaces in South San Francisco also search in these neighboring cities: Daly City , Millbrae , and San Francisco. Office space : The area east of Highway 101 is dominated by bland industrial complexes interspersed with futuristic office parks, particularly the Oyster Point Marina. These business parks offer many office space listings and commercial office space properties. South San Francisco is considered to be the birthplace of the biotech industry. This makes it an attractive place for companies to base office space in this city. The city is home to Genentech, one of the world's largest biotech companies, as well as a satellite office of Amgen, the world's largest biotech firm. Many other biotech companies have also started or moved to South San Francisco to be in proximity to the UCSF, Stanford University, and UC Berkeley; all are within a one hour's drive. Many companies like to locate in this city because of its proximity to a very educated work force. These features attract many businesses to find commercial real estate and commercial listings, as well as commercial office space. Small office spaces can be found using Rofo's innovative search technology. Retail space : South San Francisco attracts many residents from surrounding towns and makes it a great location to start a retail business. Grand Avenue, from Spruce going south, is considered downtown South San Francisco, with various small shops and restaurants. This area offers significant amounts of small retail spaces that are perfect for small shops and restaurants. City Hall is located on Grand Avenue, and to the residents of SSF, it is known simply as ""Grand"". Here, many commercial real estate and commercial properties can be found as well. Grand also runs perpendicular with one of the cities other well known streets, Linden, which connects San Bruno to highway 101. Because of this easy access to the highway, businesses find it advantageous to locate their commercial real estate or office space in this city. Chestnut Avenue connects Hillside, the northern bordering street at the foot of San Bruno Mountain, to Westborough Blvd, and subsequently to one of the neighborhoods known as Westborough. Grand Avenue is host to a plethora of stores, one of which is Bronstein Music, a well known local music store that has been around for decades. This area of commercial focus offers many small retail property and commercial leases. The city's small downtown and several aging residential subdivisions, such as Mayfair Village, Sunshine Gardens, Avalon Park, Winston Manor, and Rancho Buri Buri, are located west of Highway 101. The attractions that this city offers make it a great place for businesses to find commercial properties for rent or commercial real estate for lease. Warehouse space : South San Francisco's office parks and industrial zoning are favorable to meet needs of the biotech industry, and the property taxes levied from the extensive industrial park provide a gold mine of revenue for the city. This easy access to the highways gives another reason to find warehouse space or industrial space listings in South San Francisco. Quick Market Stats: There's roughly 2,5000,000 square feet of office space with a rough overall vacancy rate of 8%. The average asking rates for Class A office space is $3.75(fs) and Class B office space is $2.75(fs) per square foot per month. The industrial space market is roughly 18,000,000 square feet and has an overall vacancy rate of just 6%. The average lease rate is $0.75 per square foot per month.","San Francisco-Oakland-Fremont, CA","0000-00-00 00:00:00"
"Ventura","CA","California","Los Angeles",34.26589966,-119.25836945,3110,"Ventura Formerly known as San Buenaventura, Ventura has a population of about 110,000 and has some of the best surfing in Southern California. It is a big tourist town and has a bustling nightlife with many great shopping centers and higher end restaurants. Office space in Ventura : A number of office spaces are available in Ventura, including loft and high-rise options. Its location on the coast as well as its proximity to Los Angeles make Ventura a desirable place to run a business. Retail space in Ventura : Surf shops, tourist shops, and casual restaurants will do great in a city like Ventura. Closer to downtown is where higher end retailers should look for space, whereas convenience stores, cafes and coffee shops will thrive throughout the beautiful city of Ventura. Industrial space in Ventura : There are plenty of industrial warehouse options in Ventura, especially along the three main access routes: US Route 101, State Route 33 and State Route 126. Other smaller warehouse options can be found throughout the city. Companies searching for space in Ventura also look in nearby Oxnard , Santa Barbara and Thousand Oaks .","Los Angeles-Long Beach-Anaheim, CA","0000-00-00 00:00:00"
"Appleton","WI","Wisconsin","Outagamie",44.26181030,-88.41744232,3099,"","Appleton, WI","0000-00-00 00:00:00"
"Corona","CA","California","Orange",33.87554169,-117.56755829,3060,"About Corona Commercial Real Estate: If you're looking for commercial real estate for sale or lease in Circle City, you've come to the right place. Historically, this City of approximately 152,000 in Riverside County was appreciated for its vast open space and agriculture, but Corona also happens to be very hospitable to the film industry. This all-American town has a host of historic elements, upscale neighborhoods and beautiful mountainous backdrops that film production companies find attractive and convenient. Buy or rent the perfect commercial real estate space for you in Corona, CA. Whether you're searching for new office space, a retail store, or a warehouse, we can help connect you with Corona brokers and landlords that can meet your exact needs.","Los Angeles-Long Beach-Anaheim, CA","2020-04-06 17:39:44"
"Fullerton","CA","California","Los Angeles",33.87039566,-117.92430115,2986,"","Los Angeles-Long Beach-Anaheim, CA","0000-00-00 00:00:00"
"Fort Myers","FL","Florida","Lee",26.62314034,-81.83979034,2984,"","Cape Coral-Fort Myers, FL","0000-00-00 00:00:00"
"Englewood","FL","Florida","Sarasota",26.97505379,-82.36820221,2982,"","North Port-Bradenton-Sarasota, FL","0000-00-00 00:00:00"
"Long Beach","CA","California","Los Angeles",33.78985977,-118.15181732,2966,"About Long Beach Commercial Real Estate: If you're looking for commercial real estate for sale or lease in The Aquatic Capital of America, you've come to the right place. Located just 20 miles south of downtown Los Angeles, this coastal city is home to one of the busiest shipping ports in the world. Downtown Long Beach has five (5) business districts, which are all experiencing a revitalization of the City's core ├óÔé¼ÔÇ£ the waterfront, the West Gateway, the East Village Arts District, the Pine Avenue and Promenade area, and North Pine ├óÔé¼ÔÇ£ representing different hotbeds of business activity with unique clusters of industries, shops and restaurants, each with a distinct vibe and energy. Commercial shipping is by far the largest and well known industry in Long Beach; the Port of Long Beach has around 30,000 employees, by far the City's largest employer. But aviation also has a strong foothold in this International City. Boeing is the largest private employer in Long Beach. Healthcare companies also have a significant presence here. With Long Beach's enviable Mediterranean climate, businesses of all kinds find Long Beach desirable. There is a plethora of tourist attractions, sports teams and colleges: Cal State Long Beach is one of California's largest state institutions. Buy or rent the perfect commercial real estate space for you in Long Beach, CA. Whether you're searching for new office space, a retail store, or a warehouse, we can help connect you with Long Beach brokers and landlords that can meet your exact needs.","Los Angeles-Long Beach-Anaheim, CA","2020-04-06 17:30:54"
"Santa Ana","CA","California","Orange",33.74552917,-117.86762238,2938,"Santa Ana The county seat and most populous city of Orange County, Santa Ana is a large metropolitan area south of Los Angeles. It lies on the Santa Ana River 10 miles from the coast and is home to the famous Santa Ana winds, known historically to fuel wildfires throughout southern California. Santa Ana experiences a Mediterranean climate, with warm summers and cool and wet winters. It also has a great public transportation system. Companies looking for space in Santa Ana also search in Orange , Anaheim , Irvine , and Garden Grove . Retail space in Santa Ana : Part of the South Coast Metro area, the south end of Santa Ana is a hubbub for retail opportunities. The major destination of this area is the South Coast Plaza, the city's major shopping center. Other options are available throughout the city for convenience shops and restaurants. Office space in Santa Ana : A few high-rise and converted loft office options are available near the South Coast Plaza; but the majority of Santa Ana high-rise office spaces are located in the Metro East area, where there is little retail or housing nearby. Industrial space in Santa Ana : Santa Ana has a number of smaller warehouse options throughout the city, with larger options available along the freeways. Because the area is so densely populated, larger warehouses are harder to come by.","Los Angeles-Long Beach-Anaheim, CA","0000-00-00 00:00:00"
"Holland","MI","Michigan","Ottawa",42.78310013,-86.09723663,2886,"","Grand Rapids-Wyoming-Kentwood, MI","0000-00-00 00:00:00"
"Farmington","MI","Michigan","Wayne",42.46491623,-83.37643433,2882,"","Detroit-Warren-Dearborn, MI","0000-00-00 00:00:00"
"Menlo Park","CA","California","Alameda",37.48344040,-122.16573334,2877,"Menlo Park: Situated on ""The Peninsula"", Menlo Park is conveniently located between San Francisco and Oakland in the North, and San Jose in the East. The City of Menlo Park is home to a wide range of businesses of every size and type. This diverse business atmosphere offers many commercial real estate and commercial listings , as well as commercial office space and industrial properties . Employers include such familiar names as Sun Microsystems, Boise Cascade, SRI International and the U.S. Geological Survey. Companies who look for spaces in Menlo Park also search in these neighboring cities: Mountain View , Palo Alto , and Redwood City. Office and warehouse space : To accommodate these and many other enterprises, business parks are located in both the east and west ends of the City near Interstate 280 and the Bayshore Freeway. These business parks offer many office space listings and commercial office space properties. Menlo Park has its own Caltrain station and is 30 minutes away from the airport. The convenient transportation system is plus advantage for businesses that are looking for commercial office space as well as office space property . Many small office users find Rofo to be a great solution to find office space. Retail space : Downtown Menlo Park is a vibrant place and local merchants are an integral part of the neighborhood. Santa Cruz Avenue, the main artery of downtown Menlo Park, is an attractive street lined with a wide variety of shops that meet local needs and draw visitors from other parts of the Peninsula. These shopping centers have significant amounts of small retail spaces that are perfect for small shops and restaurants. In these centers, many commercial real estate and commercial properties can be found as well. The variety of downtown shops mirrors the eclectic nature of the neighborhood's small older cottages and apartments to large, multi-story remodels. Stores range from upscale clothing, rugs, furniture and restaurants to longtime standards such as the Hoot N Toot cleaners and second-hand shops. These centers offer many small retail property and commercial leases . The attractions that Menlo Park offers make it a great place for businesses to find commercial properties for rent or commercial real estate for lease. Retail space in Menlo Park can be found on Rofo at affordable prices. Quick Market Stats: There's roughly 2,000,000 square feet of office space with a rough overall vacancy rate of 10%. The average asking rates for Class A office space is $5.00(fs) and Class B office space is $3.50(fs) per square foot per month. The industrial space market is roughly 3,000,000 square feet and has an overall vacancy rate of just 4%. The average lease rate is $0.75 per square foot per month.","San Francisco-Oakland-Fremont, CA","0000-00-00 00:00:00"
"Wyoming","MI","Michigan","Ottawa",42.89886856,-85.70476532,2870,"","Grand Rapids-Wyoming-Kentwood, MI","0000-00-00 00:00:00"
"Kingsport","TN","Tennessee","Hawkins",36.53949738,-82.54672241,2841,"","Kingsport-Bristol, TN-VA","0000-00-00 00:00:00"
"Irvine","CA","California","Orange",33.67142868,-117.79141998,2837,"Irvine, CA, has recently experienced a dynamic shift in its commercial real estate market, particularly in office leasing. The vacancy rate has stabilized around 12 percent, reflecting a gradual recovery from the pandemic's impact. Companies are increasingly seeking flexible office solutions, propelling the growth of coworking spaces, which now account for a notable portion of leased office space. This trend supports small businesses looking for affordable, scalable options without longterm commitments. Key market health indicators show a steady demand driven by tech and biotech sectors, enhancing the overall attractiveness of the Irvine market. Small businesses should consider engaging with coworking providers, not only for cost efficiency but also for networking opportunities that can catalyze growth. As companies embrace hybrid work models, well located, adaptable office solutions are becoming essential, making Irvines commercial landscape a fertile ground for entrepreneurial ventures.","Los Angeles-Long Beach-Anaheim, CA","2025-02-07 22:33:35"
"Canton","MI","Michigan","Wayne",42.29356003,-83.45707703,2828,"","Detroit-Warren-Dearborn, MI","0000-00-00 00:00:00"
"Kingston","NY","New York","Ulster",41.92705536,-73.99761963,2824,"","Kingston, NY","0000-00-00 00:00:00"
"Burnsville","MN","Minnesota","Dakota",44.77703476,-93.27807617,2820,"","Minneapolis-St. Paul-Bloomington, MN-WI","0000-00-00 00:00:00"
"Norman","OK","Oklahoma","McClain",35.19121170,-97.44134521,2814,"","Oklahoma City, OK","0000-00-00 00:00:00"
"Bismarck","ND","North Dakota","Burleigh",46.80836868,-100.76937866,2804,"","Bismarck, ND","0000-00-00 00:00:00"
"Arlington Heights","IL","Illinois","Cook",42.08303070,-87.98051453,2786,"Arlington Heights has a balanced office leasing landscape, with vacancy rates hovering around 12 percent, slightly improving from the past year. Demand for flexible workspaces is on the rise, reflecting a shift towards hybrid work models. Market health remains solid, supported by a steady influx of midsized firms and startups seeking affordable and adaptable office solutions. Small businesses should consider the growing coworking segment for its lower overhead costs and flexibility.","Chicago-Naperville-Elgin, IL-IN","2025-05-29 05:08:56"
"Spring","TX","Texas","Harris",30.06526184,-95.38840485,2740,"","Houston-Pasadena-The Woodlands, TX","0000-00-00 00:00:00"
"Diamondhead","MS","Mississippi","Hancock",30.37998390,-89.37599945,2690,"","Gulfport-Biloxi, MS","0000-00-00 00:00:00"
"Stafford","VA","Virginia","Bedford",38.42203522,-77.40819550,2688,"","Lynchburg, VA","0000-00-00 00:00:00"
"Bella Vista","AR","Arkansas","Benton",36.46762085,-94.29685974,2673,"","Fayetteville-Springdale-Rogers, AR","0000-00-00 00:00:00"
"Orange Park","FL","Florida","Duval",30.17040062,-81.70639801,2668,"","Jacksonville, FL","0000-00-00 00:00:00"
"Palm Coast","FL","Florida","St. Johns",29.57193375,-81.21036530,2664,"","Jacksonville, FL","0000-00-00 00:00:00"
"Grand Prairie","TX","Texas","Tarrant",32.74601364,-96.99463654,2655,"","Dallas-Fort Worth-Arlington, TX","0000-00-00 00:00:00"
"Mountain View","CA","California","Alameda",37.40047073,-122.07298279,2655,"The City of Mountain View is served by the Caltrain rail system, which runs from San Francisco to Gilroy. It also served by the Santa Clara Valley Transportation Authority, including various bus lines and the Mountain View - Winchester light rail line. Moffett Federal Airfield is located just north of Mountain View, but its use is restricted to aeromedical, government and military users. The nearest major airports are Norman Y. Mineta San Jose International Airport (SJC) and San Francisco International Airport (SFO). Mountain View has over 5,000 businesses--from sole proprietorships to large corporations. Mountain View is a prime location in which to do business. The central location provides easy freeway access to Highways 101 and 85, and the entire San Francisco Bay Area and northern California cities. Whether you are a new venture business or an existing business looking to expand in this growing area, Mountain View is a great place to watch your business grow. Quality office, industrial or commercial space is available; Mountain View is located at the north end of Highway 85, where it meets Highway 101. The historic route El Camino Real also runs through Mountain View. Mountain View is bounded to the northwest by Palo Alto, to the southwest by Los Altos, to the southeast by Sunnyvale, and to the northeast by the San Francisco Bay. Its great access allows many companies to search for commercial space in Mountain View. Companies who look in this city also look in nearby cities such as Sunnyvale , Palo Alto , and Los Altos . Retail space in Mountain View: Retail space in Mountain View is offered for sale and for lease and there are many local real estate brokers who have property listings for a company to view. You can quickly get a quote for a sublease or direct space by using Rofo . There are many regional malls in Mountain View that offer a variety of shopping and Rofo can help point you towards the optimal vacant space. Office space in Mountain View: Mountain View is attracting small office users to their downtown office space . Currently the downtown area offer office listings for lease and office listings for sale . There are several furnished and wired spaces available as well as serviced office solutions. Two new office buildings have been built with Fenwick & West LLP and Nuasis as anchor tenants which has given downtown Mountain View the anchor it needs to create the latest Silicon Valley high-tech hub. Some other notable companies that call Mountain View home include Google (the infamous Googleplex is within city limits), Actel Corporation, Drexler Technology, Microsoft, Netscape/AOL, & VeriSign. Mountain View offers high rise office space , low rise office space , lofts , mixed use space and converted warehouse office space. Warehouse space in Mountain View: Mountain View's industrial developments allow businesses from a start-up to a multi-national company find their space needs on a for sale or for lease basis. Many small warehouses exist in Mountain View and can be found on Rofo.com . Mountain View's central location offers warehouse space near Interstate 101. Mountain View has storage spaces , warehouse spaces , distribution spaces , and manufacturing spaces . Mountain View is also active with biotech companies. It is seeing one of the biggest increases in Life Science companies--from 40+ to 67 in the few years. Companies such as Boston Scientific, Neuropace, and ChemoCentryx have added to Mountain View's cachet as one of the country's largest Life Science backbones. Lab space is important to the city of Mountain View and there are several good spaces available to start up companies. Quick Market Stats: There's roughly 6,000,000 square feet of office space with a rough overall vacancy rate of 7%. The average asking rates for office space is $2.75(fs). The R&D space market is roughly 12,000,000 square feet and has an overall vacancy rate of just 10%. The average lease rate is $2.00 per square foot per month. The industrial space market is roughly 2,500,000 square feet and has an overall vacancy rate of just 3%. The average lease rate is $1.00 per square foot per month.","San Francisco-Oakland-Fremont, CA","0000-00-00 00:00:00"
"Kansas City","MO","Missouri","Cass",39.09043121,-94.58364105,2648,"","Kansas City, MO-KS","0000-00-00 00:00:00"
"Alexandria","VA","Virginia","Arlington",38.82725143,-77.08789062,2646,"If you're looking for commercial real estate for sale or lease in the City of Alexandria, you've come to the right place. Located just across the Potomac River from Washington D.C., Alexandria is sophisticated city with a highly educated workforce and headquarters to major US companies, federal agencies, non-profits and trade associations. This energized, walkable city has numerous districts such as Old Town, Del Ray, Potomac Yard and West End where small and mid-sized businesses thrive. Furthermore, the Ronald Reagan National Airport is just minutes away. Buy or rent the perfect commercial real estate space for you in Alexandria, VA. Whether you're searching for new office space, a retail store, or a warehouse, we can help connect you with Alexandria brokers and landlords that can meet your exact needs.","Washington-Arlington-Alexandria, DC-VA-MD-WV","2020-04-15 23:43:52"
"Antioch","CA","California","Sacramento",37.98106384,-121.80543518,2630,"Antioch is one of California's oldest cities, with a burgeoning population of professionals and skilled workers. It is a crossroads linking the San Francisco/East Bay region to Sacramento and the Central Valley without the high price tag of most Bay Area commercial real estate and office space . Companies who look for spaces in Antioch also search in these neighboring cities: Concord , Martinez , and Walnut Creek . Office Space : Antioch offers an experienced labor pool and competitively priced commercial office space and office space . Administrative/back office operations, high technology manufacturing and assembly, biotech companies as well as retail are target industries. Retail Space : Commercial real estate and commercial properties in Antioch typically leases for 20 to 30 percent less than comparable space in central Contra Costa County. Antioch is one of the few cities in the Greater Bay Area where properties for lease are still available, and competitively priced for development. Rofo offers listings of available commercial listings . Warehouse space : Both the mature industrial areas and the southeast have opportunities for development, including commercial real estate , office space and industrial development .","Sacramento-Roseville-Folsom, CA","0000-00-00 00:00:00"
"Asheville","NC","North Carolina","Buncombe",35.58169937,-82.55413055,2616,"","Asheville, NC","0000-00-00 00:00:00"
"Punta Gorda","FL","Florida","Charlotte",26.89352798,-82.06616974,2612,"","Punta Gorda, FL","0000-00-00 00:00:00"
"Idaho Falls","ID","Idaho","Bonneville",43.49084091,-112.03908539,2593,"","Idaho Falls, ID","0000-00-00 00:00:00"
"Zephyrhills","FL","Florida","Pasco",28.23735619,-82.17170715,2564,"","Tampa-St. Petersburg-Clearwater, FL","0000-00-00 00:00:00"
"Salt Lake City","UT","Utah","Davis",40.77159119,-111.88816833,2556,"Salt Lake City Salt Lake City is the capital of Utah, with around 182,000 residents. The Salt Lake City Metro area spans 3 counties and has around 1,115,000 inhabitants. Salt Lake City was founded in 1847 by a group of Mormon pioneers led by Brigham Young, their prophet. The city is still home to the headquarters of the Church of Jesus Christ of Latter-day Saints. Salt Lake City is the industrial banking center of the U.S. as well as a popular tourist destination for outdoor recreation, primarily skiing. Modern day Salt Lake City's economy is driven by utilities, transportation, trade, government and professional and business services. Considered the ""crossroads of the west,"" Salt Lake City is home to many regional distribution centers and is serviced by Interstate 15 which is a major corridor for freight traffic. Office space in Salt Lake City : Currently in the downtown region, office vacancies are quite low. In response, two new 8 and 22 story buildings are being constructed. Soon more high-rise space will be available in addition to the low-rise, loft and converted warehouse spaces that can be found. Companies searching for office space in Salt Lake City can find it listed on Rofo.com for lease, sublease and purchase. Local agents would be happy to show interested parties around to possible options. Retail space in Salt Lake City : Salt Lake City is home to many restaurants, clothing retailers, theaters, galleries and gift shops. As a tourist destination for outdoor recreation, great ideas for retailers would be those involving outdoor activities such as gear rental stores, bike shops and thrift stores. Salt Lake City is a great place to run a business and new companies are always welcome. Industrial space in Salt Lake City : As the ""crossroads of the west,"" Salt Lake City is a major center for distributors. Easily accessible, the city is centrally located and convenient for storage, wholesale and manufacturing companies. Warehouse spaces of all types can be found on Rofo.com. Companies searching for space in Salt Lake City also look in West Valley City , Taylorsville , West Jordan , Sandy , Bounitful and Murray .","Ogden, UT","0000-00-00 00:00:00"
"Winston Salem","NC","North Carolina","Davidson",36.09365463,-80.24322510,2556,"","Winston-Salem, NC","0000-00-00 00:00:00"
"Amarillo","TX","Texas","Randall",35.20218658,-101.83554840,2534,"","Amarillo, TX","0000-00-00 00:00:00"
"Lehigh Acres","FL","Florida","Hendry",26.60305786,-81.63202667,2532,"","Clewiston, FL","0000-00-00 00:00:00"
"Grass Valley","CA","California","Nevada",39.21927643,-121.05895233,2462,"","Truckee-Grass Valley, CA","0000-00-00 00:00:00"
"Springdale","AR","Arkansas","Washington",36.17821121,-94.14337158,2416,"","Fayetteville-Springdale-Rogers, AR","0000-00-00 00:00:00"
"Wilmington","DE","Delaware","New Castle",39.74296188,-75.53849030,2416,"Wilmington Wilmington is the largest city in the state of Delaware, with around 75,000 residents. Many national and international banks have credit card industry operations in Wilmington, as well as other financial and insurance companies. Wilmington is only 25 miles southwest of Philadelphia. Wilmington has one of the highest per capita rates of HIV infection in the United States. Office space in Wilmington : Many high-rise office spaces can be found downtown, where a number of financial and insurance companies are headquartered. Low-rise, single-story, loft and converted warehouse spaces can be found scattered throughout Wilmington and are listed for lease or sublease on Rofo. As the biggest city and cultural center of Delaware, Wilmington has no shortage of office space. Retail space in Wilmington : Residents from all over Delaware go to Wilmington to shop and visit the cultural attractions such as museums, galleries, and concert and theater venues. Wilmington is home to many restaurants, movie theaters, clothing stores, shopping malls and gift shops. Retailers looking to relocate to Wilmington can find retail space downtown, as well as elsewhere throughout the city. Industrial space in Wilmington : Wilmington has a number of industrial parks to offer where warehouse space can be found, as well as other free-standing industrial buildings. Local agents would be happy to show companies interested in industrial space around to possible buildings that would be suitable as storage spaces, production, or distribution facilities. Companies searching for space in Wilmington also look in Claymont , Elsmere , and Edgemoor .","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","0000-00-00 00:00:00"
"Fort Pierce","FL","Florida","St. Lucie",27.42568779,-80.34143066,2392,"","Port St. Lucie, FL","0000-00-00 00:00:00"
"Toledo","OH","Ohio","Wood",41.65291977,-83.57778168,2388,"Toledo's office space market is experiencing a gradual recovery, with recent trends indicating a stabilization in office leasing activity. The overall vacancy rate has dipped slightly, currently hovering around 15 percent, down from previous highs. This improvement is attributed to a resurgence in demand as businesses adapt to hybrid work models and rethink their space needs. Market health is characterized by an uptick in flexible leasing options, particularly the growth of coworking spaces. These shared environments cater to small businesses and startups seeking affordability and flexibility, allowing for greater collaboration and networking opportunities.","Toledo, OH","2025-03-06 15:42:45"
"Mandeville","LA","Louisiana","St. Tammany",30.37493896,-90.09210968,2386,"","Slidell-Mandeville-Covington, LA","0000-00-00 00:00:00"
"Westminster","CO","Colorado","Jefferson",39.86349106,-105.02514648,2364,"Westminster Westminster is a suburb in the northwest section of the Denver-Aurora Metropolitan Area. There are around 110,000 residents. Westminster provides a wonderful trail and open space system to its residents, who enjoy running and biking trails as well as numerous small lakes and ponds. Downtown Denver and recreational Boulder are only a 20 minute drive away. Office space in Westminster : The suburb of Westminster offers a wide variety of available office space, from space in business parks to free standing office space. Loft, low-rise and converted warehouse spaces can be found listed on Rofo for purchase, lease and sublease. Companies with office space in Westminster enjoy working in a beautiful setting a short drive away from many amenities such as downtown Denver and the Denver International Airport. Retail space in Westminster : Westminster is full of fun recreational activities, as well as endless retail options. Restaurants, movie theaters, bookstores, clothing stores, caf&eacute;s, coffee shops and antique boutiques are some of the great ideas for retailers looking to relocate to Westminster. Businesses may find space downtown, within a shopping center, or in numerous stand-alone spaces throughout the city. Industrial space in Westminster : This northwest suburb of the Denver area contains a few industrial business parks, as well as many other warehouse spaces of varying sizes. A lot of distributors, manufacturers and wholesalers that serve the greater Denver Metropolitan Area have their bases in Westminster; and incoming businesses will find space that is right for their needs as well as quick and efficient permitting through the city. Companies searching for space in Westminster also look in Northglenn , Arvada , Denver , Thornton, Aurora , Lakewood and Commerce City .","Denver-Aurora-Centennial, CO","0000-00-00 00:00:00"
"Columbia","SC","South Carolina","Lexington",34.00068665,-81.03530121,2358,"If you're looking for commercial real estate for sale or lease where justice is the Queen of Virtues, you've come to the right place. As the capital of South Carolina and the state's second largest city, Columbia's diverse economic base makes it an attractive place to locate your businesses. Maybe it's the highly educated workforce in Columbia or its top 10 ranking among cities with the lowest start-up cost in the nation or the fact that businesses pay no state tax, property tax or local income tax. Columbia's downtown is home to the largest redevelopment project in the eastern United States and it has a highly developed interstate infrastructure. Financial services, insurance companies and companies with manufacturing needs like being in Columbia. Buy or rent the perfect commercial real estate space for you in Columbia, SC. Whether you're searching for new office space, a retail store, or a warehouse, we can help connect you with Columbia brokers and landlords that can meet your exact needs.","Columbia, SC","2020-04-15 23:42:39"
"Leander","TX","Texas","Williamson",30.56889915,-97.84867859,2349,"","Austin-Round Rock-San Marcos, TX","0000-00-00 00:00:00"
"Clinton","MI","Michigan","Washtenaw",42.07201767,-83.97170258,2342,"","Ann Arbor, MI","0000-00-00 00:00:00"
"Joliet","IL","Illinois","Kendall",41.51667023,-88.08123016,2340,"","Chicago-Naperville-Elgin, IL-IN","0000-00-00 00:00:00"
"Stuart","FL","Florida","Martin",27.18135643,-80.23625183,2338,"","Port St. Lucie, FL","0000-00-00 00:00:00"
"Aiken","SC","South Carolina","Aiken",33.53745651,-81.72419739,2335,"","Augusta-Richmond County, GA-SC","0000-00-00 00:00:00"
"Saginaw","MI","Michigan","Saginaw",43.43716812,-83.94670868,2317,"","Saginaw, MI","0000-00-00 00:00:00"
"Muskegon","MI","Michigan","Ottawa",43.22712708,-86.25940704,2312,"","Grand Rapids-Wyoming-Kentwood, MI","0000-00-00 00:00:00"
"Yuma","AZ","Arizona","Yuma",32.69855881,-114.62464142,2306,"","Yuma, AZ","0000-00-00 00:00:00"
"Ferndale","MI","Michigan","Wayne",42.46058273,-83.13456726,2280,"","Detroit-Warren-Dearborn, MI","0000-00-00 00:00:00"
